허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
독봉산웰빙공원,04,16,거제시,경상남도 거제시 고현천로 181,,34.8792123724,128.633247557,5,119595/59730,2016-12-12,2021-03-04,※ 사정에 따라 다름,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2018-08-03,5370000,경상남도 거제시
지세포 선창 낚시공원,04,16,거제시,경상남도 거제시 일운면 지세포해안로 258,,34.8360721695,128.717363174,2,30605/61210,2016-12-12,2019-11-06,※ 사정에 따라 다름,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2018-08-03,5370000,경상남도 거제시
지세포친수공간,04,16,거제시,경상남도 거제시 일운면 지세포해안로15-44,,34.8391864976,128.701236471,4,40830,2018-04-10,2021-03-04,※ 사정에 따라 다름,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2018-08-03,5370000,경상남도 거제시
거제시보건소,99,16,거제시,경상남도 거제시 수양로 506,,34.8916882715,128.636561602,4,116540,2018-04-10,2021-03-04,※ 사정에 따라 다름,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2018-08-03,5370000,경상남도 거제시
거제시청,99,16,거제시,경상남도 거제시 계룡로 125,,34.8805288283,128.620814279,4,103570,2018-04-10,2021-03-04,※ 사정에 따라 다름,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2018-08-03,5370000,경상남도 거제시
만안구청,08,09,안양시,경기도 안양시 만안구 안양로128,,37.3866427218,126.932406606,1,"""1,317,250""",2018-05-30,2019-05-29,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,안양시,031-8045-2208,2018-08-09,3830000,경기도 안양시
안양종합운동장,03,09,안양시,경기도 안양시 동안구 평촌대로389,,37.4051455362,126.945234308,6,매출액 15(VAT별도),2018-03-11,2018-09-30,평일,00:00,00:00,19:00,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,안양시,031-8045-2208,2018-08-09,3830000,경기도 안양시
장흥유원지,01,09,양주시,경기도 양주시 장흥면 권율로 184,경기도 양주시 장흥면 석현리 392번지 7호 (1-2),37.7302489,126.949199,1,"""111,000""",2016-08-29,2018-08-28,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양주시 민원봉사과,031-8082-5292,2018-08-01,5590000,경기도 양주시
장흥유원지,01,09,양주시,경기도 양주시 장흥면 권율로 184,경기도 양주시 장흥면 석현리 392번지 7호 (1-3),37.7302489,126.949199,1,"""61,000""",2016-08-29,2018-08-28,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양주시 민원봉사과,031-8082-5292,2018-08-01,5590000,경기도 양주시
장흥유원지,01,09,양주시,경기도 양주시 장흥면 권율로 184,경기도 양주시 장흥면 석현리 392번지 7호 (2-1),37.7302489,126.949199,1,"""40,000""",2016-08-29,2018-08-28,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양주시 민원봉사과,031-8082-5292,2018-08-01,5590000,경기도 양주시
장흥유원지,01,09,양주시,경기도 양주시 장흥면 권율로 184,경기도 양주시 장흥면 석현리 392번지 7호 (A-2),37.7302489,126.949199,1,"""129,140""",2016-11-15,2018-11-14,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양주시 민원봉사과,031-8082-5292,2018-08-01,5590000,경기도 양주시
장흥유원지,01,09,양주시,경기도 양주시 장흥면 권율로 184,경기도 양주시 장흥면 석현리 392번지 7호 (A-3),37.7302489,126.949199,1,"""129,140""",2016-11-15,2018-11-14,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양주시 민원봉사과,031-8082-5292,2018-08-01,5590000,경기도 양주시
장흥유원지,01,09,양주시,경기도 양주시 장흥면 권율로 184,경기도 양주시 장흥면 석현리 392번지 7호 (A-4),37.7302489,126.949199,1,"""129,140""",2016-11-15,2018-11-14,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양주시 민원봉사과,031-8082-5292,2018-08-01,5590000,경기도 양주시
장흥유원지,01,09,양주시,경기도 양주시 장흥면 권율로 184,경기도 양주시 장흥면 석현리 392번지 7호 (A-6),37.7302489,126.949199,1,"""129,140""",2016-11-15,2018-11-14,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양주시 민원봉사과,031-8082-5292,2018-08-01,5590000,경기도 양주시
원주종합체육관,03,10,없음,강원도 원주시 서원대로 281,,37.3390611515,127.941916293,,기간내 131220,2017-10-14,2018-03-13,홈경기일 27일만 운영,17:00,22:00,15:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,원주시 체육시설사업소,033-737-4302,2018-08-20,4190000,강원도 원주시
푸드트럭존,99,01,서초구,서울특별시 서초구 서초동 1318-8,서울특별시 서초구 서초동 1318-8,37.4968662,127.0246298,17,1622500,2017-01-01,2017-12-31,연중무휴,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,,서초구,02-2155-6950,2018-06-28,3210000,서울특별시 서초구
